predicted,actual
2,2
2,0
9,8
2,2
5,5
3,1
2,2
2,2
1,1
2,2
2,2
3,2
1,1
2,1
2,2
2,1
2,0
3,3
4,4
1,1
2,2
3,3
3,3
2,3
We need more information about the objects' attributes to answer this question.,3
3,3
4,4
1,1
1,1
4,4
3,3
6,5
2,2
no,yes
yes,yes
no,no
yes,no
no,no
yes,no
yes,no
no,no
no,no
yes,yes
rubber,yes
yes,yes
yes,yes
yes,yes
no,no
no,no
yes,yes
no,no
yes,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
no,no
yes,yes
no,no
no,no
no,yes
yes,yes
yes,yes
cylinder,cylinder
green,green
cubes,cube
red rubber,rubber
green,green
sphere,sphere
sphere,sphere
brown,yellow
green,green
cube,cube
yellow,yellow
red,red
green,yellow
rubber,rubber
sphere,sphere
yes,red
cylinder,cylinder
cylinder,cylinder
brown,cylinder
cube,cube
sphere,sphere
blue,blue
sphere,sphere
green,green
purple,purple
yes,metal
blue,red
no,cylinder
yes,rubber
sphere,sphere
sphere,sphere
blue,red
cube,cube
cyan,cyan
