predicted,actual,num_llm_calls
2,2,4
0,0,20
9,8,20
2,2,20
5,5,20
2,1,20
2,2,4
2,2,20
1,1,4
1,2,20
2,2,12
2,2,20
1,1,10
2,1,20
2,2,20
1,1,10
1,0,9
3,3,8
4,4,20
1,1,20
2,2,5
3,3,20
3,3,20
3,3,20
0,3,7
3,3,20
4,4,20
1,1,9
1,1,19
4,4,20
6,3,20
5,5,20
2,2,20
yes,yes,10
yes,yes,20
no,no,20
no,no,19
no,no,20
no,no,20
no,no,20
no,no,18
no,no,20
no,yes,20
yes,yes,20
yes,yes,20
yes,yes,20
yes,yes,20
no,no,20
no,no,20
yes,yes,20
no,no,20
no,no,20
no,no,20
no,no,20
no,no,20
no,no,15
no,no,20
yes,yes,20
yes,yes,20
no,no,3
yes,yes,9
no,no,20
no,no,20
yes,yes,18
yes,yes,14
yes,yes,15
cylinder,cylinder,20
green,green,20
cube,cube,5
rubber,rubber,17
green,green,13
sphere,sphere,11
sphere,sphere,10
brown,yellow,8
green,green,20
cube,cube,7
yellow,yellow,20
red,red,20
yellow,yellow,14
rubber,rubber,7
sphere,sphere,9
yes,red,4
cylinder,cylinder,20
cylinder,cylinder,9
cylinder,cylinder,6
None,cube,6
sphere,sphere,20
blue,blue,9
sphere,sphere,8
green,green,6
purple,purple,10
no,metal,12
red,red,20
yes,cylinder,20
no,rubber,19
sphere,sphere,6
sphere,sphere,15
red,red,12
cube,cube,20
cyan,cyan,17
