predicted,actual
3,2
1,0
8,8
3,2
5,5
1,1
2,2
2,2
1,1
3,2
1,2
4,2
1,1
2,1
2,2
1,1
0,0
3,3
4,4
1,1
3,2
4,3
3,3
3,3
1,3
3,3
4,4
1,1
1,1
4,4
8,3
5,5
2,2
no,yes
no,yes
no,no
yes,no
no,no
no,no
no,no
no,no
no,no
no,yes
yes,yes
yes,yes
yes,yes
no,yes
no,no
no,no
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
no,yes
no,no
yes,yes
no,no
no,no
yes,yes
yes,yes
no,yes
cylinder,cylinder
green,green
cube,cube
rubber,rubber
green,green
sphere,sphere
sphere,sphere
purple,yellow
yellow,green
sphere,cube
yellow,yellow
red,red
yellow,yellow
rubber,rubber
sphere,sphere
more red objects,red
cylinder,cylinder
cube,cylinder
object 4,cylinder
sphere,cube
sphere,sphere
blue,blue
sphere,sphere
green,green
purple,purple
yes,metal
gray,red
small cylinders,cylinder
matte,rubber
sphere,sphere
sphere,sphere
blue,red
cube,cube
cyan and yellow,cyan
