predicted,actual,num_llm_calls
2,2,20
7,0,20
8,8,5
2,2,6
5,5,5
1,1,20
2,2,12
2,2,6
1,1,5
1,2,12
2,2,16
2,2,11
2,1,5
2,1,7
2,2,7
1,1,20
0,0,20
4,3,5
4,4,6
1,1,20
4,2,6
3,3,6
3,3,5
3,3,11
0,3,12
3,3,7
4,4,10
1,1,10
1,1,6
4,4,5
5,3,6
5,5,5
2,2,5
yes,yes,16
Yes,yes,8
no,no,8
no,no,5
no,no,6
no,no,5
no,no,10
No,no,8
no,no,6
No,yes,6
yes,yes,4
yes,yes,6
yes,yes,10
yes,yes,6
No,no,20
no,no,16
yes,yes,6
no,no,20
Yes,no,6
no,no,20
no,no,6
no,no,6
No,no,6
No,no,19
yes,yes,20
yes,yes,6
no,no,3
yes,yes,6
no,no,2
no,no,5
yes,yes,13
yes,yes,20
No,yes,5
cylinder,cylinder,20
green,green,15
cube,cube,7
rubber,rubber,6
green,green,20
sphere,sphere,5
sphere,sphere,6
gray,yellow,20
green,green,20
cube,cube,8
yellow,yellow,20
red,red,6
yellow,yellow,8
rubber,rubber,5
sphere,sphere,6
more red objects,red,5
cylinder,cylinder,5
cylinder,cylinder,20
sphere,cylinder,16
cube,cube,6
sphere,sphere,5
blue,blue,5
sphere,sphere,7
green,green,5
purple,purple,9
Yes,metal,9
red,red,7
small spheres,cylinder,7
matte,rubber,20
sphere,sphere,5
sphere,sphere,5
blue,red,7
cube,cube,10
red,cyan,4
