predicted,actual,num_llm_calls
3,2,3
2,0,5
7,8,10
2,2,13
5,5,7
1,1,5
3,2,7
2,2,12
1,1,13
2,2,11
0,2,5
3,2,3
1,1,10
1,1,11
2,2,12
1,1,12
1,0,5
5,3,9
4,4,3
3,1,5
5,2,10
3,3,7
3,3,8
3,3,4
0,3,10
3,3,7
3,4,7
0,1,4
1,1,7
4,4,9
3,3,5
5,5,3
2,2,3
no,yes,9
yes,yes,13
no,no,15
no,no,9
no,no,14
no,no,9
no,no,5
yes,no,10
No,no,4
yes,yes,4
Yes,yes,15
yes,yes,16
yes,yes,15
Yes,yes,3
no,no,11
no,no,11
yes,yes,16
yes,no,11
no,no,13
No,no,14
no,no,15
no,no,8
No,no,3
no,no,12
yes,yes,8
no,yes,10
no,no,20
yes,yes,3
No,no,5
No,no,6
yes,yes,12
yes,yes,14
no,yes,11
cylinder,cylinder,17
green,green,14
cube,cube,12
rubber,rubber,12
green,green,5
sphere,sphere,14
sphere,sphere,9
purple,yellow,5
green,green,5
sphere,cube,4
yellow,yellow,5
red,red,13
yellow,yellow,4
rubber,rubber,14
sphere,sphere,14
red,red,15
cylinder,cylinder,15
cylinder,cylinder,8
sphere,cylinder,5
There is no gold metallic object in the scene.,cube,3
sphere,sphere,8
No cylinder found with a specified color.,blue,3
sphere,sphere,14
green,green,10
purple,purple,3
yes,metal,12
red,red,5
small spheres,cylinder,8
matte,rubber,9
No shape is between the two cylinders.,sphere,10
sphere,sphere,15
red,red,6
cube,cube,3
red,cyan,10
