predicted,actual,num_llm_calls
2,2,2
0,0,2
0,8,2
2,2,2
5,5,2
2,1,2
2,2,2
2,2,2
1,1,2
2,2,5
2,2,2
2,2,3
1,1,2
2,1,4
2,2,2
1,1,2
1,0,6
0,3,2
4,4,2
0,1,2
2,2,2
3,3,2
3,3,2
3,3,2
0,3,2
3,3,2
4,4,2
1,1,2
1,1,2
4,4,2
6,3,2
5,5,2
2,2,2
no,yes,2
yes,yes,2
no,no,2
no,no,3
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
no,yes,2
yes,yes,2
yes,yes,2
yes,yes,2
yes,yes,2
no,no,2
no,no,7
yes,yes,2
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
yes,yes,2
yes,yes,2
no,no,2
yes,yes,2
no,no,2
no,no,2
yes,yes,2
yes,yes,2
yes,yes,2
cylinder,cylinder,4
green,green,3
cube,cube,4
rubber,rubber,3
green,green,3
sphere,sphere,3
sphere,sphere,3
green,yellow,5
green,green,4
cube,cube,3
yellow,yellow,3
red,red,6
yellow,yellow,3
metal,rubber,9
sphere,sphere,5
0,red,2
cylinder,cylinder,3
cylinder,cylinder,4
cylinder,cylinder,4
cube,cube,3
sphere,sphere,9
blue,blue,3
sphere,sphere,3
green,green,5
purple,purple,3
yes,metal,2
red,red,8
3,cylinder,2
no,rubber,2
sphere,sphere,3
sphere,sphere,3
red,red,4
cube,cube,5
cyan,cyan,3
