predicted,actual,num_llm_calls
2,2,11
0,0,20
9,8,4
2,2,13
5,5,20
2,1,4
2,2,20
3,2,7
1,1,17
2,2,10
2,2,5
2,2,20
1,1,20
2,1,20
2,2,20
1,1,20
2,0,20
3,3,20
3,4,20
3,1,20
2,2,16
3,3,20
3,3,15
3,3,20
0,3,6
1,3,20
4,4,20
1,1,20
1,1,20
4,4,19
7,3,20
5,5,20
2,2,20
yes,yes,20
yes,yes,20
no,no,20
no,no,20
no,no,20
no,no,20
no,no,20
no,no,20
no,no,20
yes,yes,20
yes,yes,20
yes,yes,3
yes,yes,20
yes,yes,20
no,no,7
no,no,20
yes,yes,20
no,no,20
no,no,20
no,no,20
no,no,20
no,no,20
no,no,20
no,no,20
yes,yes,20
yes,yes,20
no,no,3
yes,yes,20
no,no,20
no,no,17
yes,yes,12
yes,yes,20
yes,yes,9
cylinder,cylinder,20
green,green,20
cube,cube,20
rubber,rubber,14
green,green,2
sphere,sphere,20
sphere,sphere,20
purple,yellow,20
green,green,20
cube,cube,13
yellow,yellow,20
no,red,20
yellow,yellow,15
rubber,rubber,20
sphere,sphere,20
red,red,20
cylinder,cylinder,20
None,cylinder,21
purple metal cylinder,cylinder,20
no,cube,4
sphere,sphere,17
blue,blue,20
sphere,sphere,20
green,green,20
purple,purple,18
no,metal,14
cyan,red,20
no,cylinder,20
no,rubber,20
sphere,sphere,20
sphere,sphere,20
blue,red,20
cube,cube,15
cyan,cyan,20
