predicted,actual
3,2
3,0
9,8
3,2
5,5
2,1
2,2
3,2
1,1
1,2
2,2
2,2
2,1
1,1
2,2
1,1
1,0
3,3
4,4
2,1
3,2
3,3
3,3
4,3
5,3
3,3
4,4
0,1
1,1
4,4
3,3
5,5
2,2
yes,yes
yes,yes
no,no
no,no
no,no
no,no
no,no
yes,no
no,no
no,yes
yes,yes
yes,yes
yes,yes
yes,yes
no,no
no,no
yes,yes
yes,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
no,no
yes,yes
no,no
no,no
yes,yes
yes,yes
yes,yes
cylinder,cylinder
green,green
cube,cube
rubber,rubber
green,green
sphere,sphere
sphere,sphere
purple,yellow
yellow,green
cube,cube
yellow,yellow
red,red
yellow,yellow
rubber,rubber
sphere,sphere
red,red
cylinder,cylinder
cube,cylinder
sphere,cylinder
sphere,cube
sphere,sphere
blue,blue
sphere,sphere
blue,green
purple,purple
yes,metal
red,red
small spheres,cylinder
matte,rubber
sphere,sphere
sphere,sphere
red,red
cube,cube
cyan,cyan
