predicted,actual
4,2
3,0
10,8
2,2
5,5
3,1
2,2
2,2
1,1
2,2
2,2
2,2
1,1
2,1
2,2
1,1
0,0
3,3
4,4
2,1
2,2
3,3
3,3
3,3
0,3
3,3
3,4
1,1
1,1
4,4
6,3
5,5
2,2
yes,yes
yes,yes
no,no
yes,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
no,no
no,no
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
no,no
yes,yes
no,no
no,no
yes,yes
yes,yes
No,yes
cylinder,cylinder
green,green
cube,cube
rubber,rubber
green,green
sphere,sphere
sphere,sphere
brown,yellow
green,green
cube,cube
yellow,yellow
red,red
yellow,yellow
rubber,rubber
sphere,sphere
red,red
cylinder,cylinder
cylinder,cylinder
yellow rubber cube,cylinder
no,cube
sphere,sphere
blue,blue
sphere,sphere
green,green
purple,purple
yes,metal
red,red
yes,cylinder
yes,rubber
sphere,sphere
sphere,sphere
blue,red
cube,cube
cyan,cyan
