predicted,actual
2,2
0,0
7,8
2,2
5,5
2,1
2,2
2,2
1,1
2,2
2,2
2,2
1,1
2,1
2,2
1,1
1,0
3,3
4,4
1,1
2,2
3,3
3,3
3,3
0,3
3,3
4,4
1,1
1,1
4,4
6,3
5,5
2,2
yes,yes
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
no,no
no,no
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
no,no
yes,yes
no,no
no,no
yes,yes
yes,yes
yes,yes
cylinder,cylinder
green,green
cube,cube
rubber,rubber
green,green
sphere,sphere
sphere,sphere
green,yellow
Green,green
cube,cube
yellow,yellow
red,red
yellow,yellow
rubber,rubber
sphere,sphere
red,red
cylinder,cylinder
cylinder,cylinder
small yellow rubber cube,cylinder
cube,cube
sphere,sphere
blue,blue
sphere,sphere
green,green
purple,purple
metallic,metal
red,red
small cylinders,cylinder
matte,rubber
sphere,sphere
sphere,sphere
red,red
cube,cube
cyan,cyan
